Date,Time,Time Zone,Gross Sales,Discounts,Net Sales,Gift Card Sales,Tax,Tip,Partial Refunds,Total Collected,Source,Card,Card Entry Methods,Cash,Square Gift Card,Other Tender,Other Tender Type,Other Tender Note,Fees,Net Total,Transaction ID,Payment ID,Card Brand,PAN Suffix,Device Name,Staff Name,Staff ID,Details,Description,Event Type,Dining Option,Customer ID,Customer Name,Customer Reference ID,Device Nickname
01/15/17,14:57:20,Central Time (US & Canada),$23.60,$-5.00,$18.60,$0.00,$1.40,$0.00,$0.00,$20.00,Point of Sale,$20.00,Swiped,$0.00,$0.00,$0.00,"","",$-0.55,$19.45,tRwZSrEsbcKkq672qqjZ40jeV,JV38cgF8Om7HQcovaCQhdzMF,Visa,5823,,,,https://squareup.com/dashboard/sales/transactions/tRwZSrEsbcKkq672qqjZ40jeV/by-unit/EYG5YAJGHJM4M,Persephone's Mischief (Large),Payment,"","","","",
01/15/17,13:53:47,Central Time (US & Canada),$14.30,$-5.00,$9.30,$0.00,$0.70,$0.00,$0.00,$10.00,Point of Sale,$0.00,N/A,$10.00,$0.00,$0.00,"","",$0.00,$10.00,TqJ2nzpK0TQHM8qlLx4hHwreV,xTU1jPnTSerRkAvWRgsXKQB,,,,,,https://squareup.com/dashboard/sales/transactions/TqJ2nzpK0TQHM8qlLx4hHwreV/by-unit/EYG5YAJGHJM4M,Detonator  (Small),Payment,"","","","",
01/15/17,13:34:15,Central Time (US & Canada),$28.60,$-10.00,$18.60,$0.00,$1.40,$0.00,$0.00,$20.00,Point of Sale,$0.00,N/A,$20.00,$0.00,$0.00,"","",$0.00,$20.00,5xVH9kUzA1qG31xgBIeIsuyeV,78AQirGJxWpQYCTOf2AULQB,,,,,,https://squareup.com/dashboard/sales/transactions/5xVH9kUzA1qG31xgBIeIsuyeV/by-unit/EYG5YAJGHJM4M,"Mimicry (Small), Magic Lanterns (Small)",Payment,"","","","",
01/15/17,13:33:15,Central Time (US & Canada),$14.30,$-5.00,$9.30,$0.00,$0.70,$0.00,$0.00,$10.00,Point of Sale,$10.00,Swiped,$0.00,$0.00,$0.00,"","",$-0.28,$9.72,1xODlM82N0DjYIMBQjEvNKyeV,EQpJmp8T53GLPawI2iQPoxMF,Visa,6887,,,,https://squareup.com/dashboard/sales/transactions/1xODlM82N0DjYIMBQjEvNKyeV/by-unit/EYG5YAJGHJM4M,Pilgrimage  (Small),Payment,"","","","",
01/15/17,13:29:59,Central Time (US & Canada),$37.56,$-5.00,$32.56,$0.00,$2.44,$0.00,$0.00,$35.00,Point of Sale,$35.00,Swiped,$0.00,$0.00,$0.00,"","",$-0.96,$34.04,rGBYQnYgLGO6yJbgPcJbAbseV,0rKuz1ewLArWrwHFW4kngsMF,Visa,8083,,,,https://squareup.com/dashboard/sales/transactions/rGBYQnYgLGO6yJbgPcJbAbseV/by-unit/EYG5YAJGHJM4M,"Now You See Me (Large), Guingin Of The Rumblestrudt (Small)",Payment,"","","","",
01/15/17,13:24:03,Central Time (US & Canada),$51.86,$-10.00,$41.86,$0.00,$3.14,$0.00,$0.00,$45.00,Point of Sale,$0.00,N/A,$45.00,$0.00,$0.00,"","",$0.00,$45.00,Lcg6wweac1un4cDaRiH5Di0eV,bI6iqkahxZfmMVD5wwr5KQB,,,,,,https://squareup.com/dashboard/sales/transactions/Lcg6wweac1un4cDaRiH5Di0eV/by-unit/EYG5YAJGHJM4M,"A Fish May Love A Bird (Small), Guingin Of The Rumblestrudt (Small), Fernweh (Large)",Payment,"","","","",
01/15/17,12:39:49,Central Time (US & Canada),$14.65,$-10.00,$4.65,$0.00,$0.35,$0.00,$0.00,$5.00,Point of Sale,$5.00,Swiped,$0.00,$0.00,$0.00,"","",$-0.14,$4.86,rWbjxTugszNA1INi4EpUc54eV,cBBihB7Bu1tMnyE4SXAFWxMF,Visa,4778,,,,https://squareup.com/dashboard/sales/transactions/rWbjxTugszNA1INi4EpUc54eV/by-unit/EYG5YAJGHJM4M,Persephone's Mischief (Small),Payment,"","","","",
01/15/17,12:22:38,Central Time (US & Canada),$57.21,$-20.00,$37.21,$0.00,$2.79,$0.00,$0.00,$40.00,Point of Sale,$0.00,N/A,$40.00,$0.00,$0.00,"","",$0.00,$40.00,PEXOrNwar1N7hAXAJSOTUH7eV,z0QhG3kDluWIJBSkC6JgLQB,,,,,,https://squareup.com/dashboard/sales/transactions/PEXOrNwar1N7hAXAJSOTUH7eV/by-unit/EYG5YAJGHJM4M,"2 x Detonator  (Small), Bakku-shan (Small), Pilgrimage  (Small)",Payment,"","","","",
01/15/17,12:12:11,Central Time (US & Canada),$42.91,$-15.00,$27.91,$0.00,$2.09,$0.00,$0.00,$30.00,Point of Sale,$0.00,N/A,$30.00,$0.00,$0.00,"","",$0.00,$30.00,VRYmsffgfv5PYU9g1fBMKyueV,ryXCZNu2xQtMYg9nJvdhKQB,,,,,,https://squareup.com/dashboard/sales/transactions/VRYmsffgfv5PYU9g1fBMKyueV/by-unit/EYG5YAJGHJM4M,"Bakku-shan (Small), Guingin Of The Rumblestrudt (Small), Persephone's Mischief (Small)",Payment,"","","","",
01/15/17,11:52:54,Central Time (US & Canada),$23.60,$-5.00,$18.60,$0.00,$1.40,$0.00,$0.00,$20.00,Point of Sale,$0.00,N/A,$20.00,$0.00,$0.00,"","",$0.00,$20.00,pbeZG0dlfKsuF5jIzVS9tc6eV,pLEGPD3wSMW2KGeWmFBXKQB,,,,,,https://squareup.com/dashboard/sales/transactions/pbeZG0dlfKsuF5jIzVS9tc6eV/by-unit/EYG5YAJGHJM4M,Quandary (Large),Payment,"","","","",
01/15/17,10:59:40,Central Time (US & Canada),$13.95,$0.00,$13.95,$0.00,$1.05,$0.00,$0.00,$15.00,Point of Sale,$0.00,N/A,$15.00,$0.00,$0.00,"","",$0.00,$15.00,px7qi2CbEYr7NERKdtt9jc2eV,TYals7sdx5apUx463ByuJQB,,,,,,https://squareup.com/dashboard/sales/transactions/px7qi2CbEYr7NERKdtt9jc2eV/by-unit/EYG5YAJGHJM4M,Persephone's Mischief (Small),Payment,"","","","",
01/15/17,10:44:50,Central Time (US & Canada),$28.60,$-10.00,$18.60,$0.00,$1.40,$0.00,$0.00,$20.00,Point of Sale,$20.00,Swiped,$0.00,$0.00,$0.00,"","",$-0.55,$19.45,55DK6N9Q9NVwaYzwtjq3gf1eV,PIwql0xSwH4KaE8cVKfikuMF,MasterCard,6138,,,,https://squareup.com/dashboard/sales/transactions/55DK6N9Q9NVwaYzwtjq3gf1eV/by-unit/EYG5YAJGHJM4M,"Guingin Of The Rumblestrudt (Small), Pilgrimage  (Small)",Payment,"","","","",
